id,parent,textAr,textFr
0,-1,أعمال تطبيقية,TRAVAUX PRATIQUES
1,-1,مخبر وزجاجيات,LABORATOIRE ET VERREIE
2,-1,المواد الكيميائية,PRODUITS CHIMIQUE
3,-1,تشريح,ANATOMIE
4,-1,ورش العمل والرياضة,ATELIERS ET SPORTS
5,-1,إعلام آلي ومكتبيات,INFORMATIQUE ET BUREAUTIQUE
6,-1,سندات تعليمية,SUPPORTS DIDACTIQUES
7,0,فيزياء,Physique
8,0,علوم الطبيعة والحياة ,Sciences de la nature et de la vie 
9,0,جيولوجيا,GEOLOGIE
10,0,الكهرباء والإلكترونيك,Electronique et électricité 
11,0,تجارب في الكيمياء ,Expériences de chimie 
12,0,علم الفلك ,ASTRONOMIE 
13,0,	التجريب المدعم بالإعلام الآلي ,EXAO 
14,0,البصريات,OPTIQUES
15,1,زجاجيات ,Verrerie 
16,1,مستلزمات المخبر ,Accessoires de laboratoire 
17,1,أجهزة القياس,Appareils de mesures
18,1,موازين ,Balances
19,1,معدات المخبر ,Equipements de laboratoire 
20,1,السمعي البصري والإسقاط,Audio-visuel et projection 
21,1,المجاهر,MICROSCOPES
22,2,الأحماض,ACIDES
23,2,المعادن,Métaux
24,2,الكواشف الملونة ,Indicateurs colorés 
25,2,الأسس ,BASES 
26,2,المواد المعدنية,Produits minéraux
27,2, المواد العضوية,Produits organiques
28,3,تشريح الإنسان,Anatomie humaine
29,3, تشريح الحيوان,Anatomie animale
30,3,تشريح نباتي,Anatomie végétale
31,3,مجسمات الجيولوجيا,Modèles en géologie
32,4,معدات ورشة العمل,Equipements d'atelier
33,4,ملابس,Tenues
34,4,كرات وشبكات,Ballons et filets
35,4,الكؤوس والميداليات,Coupes et médailles
36,4,الأعلام,Drapeaux
37,4,متفرقات,Divers
38,5,أجهزة الكمبيوتر والشاشات,Ordinateurs et écrans
39,5,حواسب محمولة واللوحات,Laptops et tablettes
40,5,المكاتب والطاولات,Bureaux et tables
41,6,خرائط الجغرافيا,Cartes de géographie
42,6,خرائط التاريخ ,Cartes d'histoire
43,6,الشفافيات,Transparents
44,6,اللوحات البيداغوجية,Planches pédagogiques
45,6,أقراص مضغوطة تعليمية,CD multimédia
